order,source,author.ID,name,variant.name,author.name,author.abbrev,standard.name,full.name,geog.author,geog.collector,family,family.obs,full.name1,tdwg.name,last.name,finger.print,family1,obs
31,huh,12023,"Eriksson, Lars Torsten",Lars Torsten Eriksson,T. Eriksson,T. Eriksson,T. Eriksson,"Eriksson, Lars Torsten",Sweden,Cyprus; Greece; Kenya; Sweden; Tanzania; USA,Adoxaceae,NA,Lars Torsten Eriksson,"Eriksson, L.T.",eriksson,eiklnorsst,"[author note: Adoxaceae, Geraniaceae, Rosaceae (taxonomy & phylogeny); GH, SBT [Eriksson verified the data of this name on 10 Aug 1998]] [collector note: B, GH, S [Eriksson verified the data of this name on 10 Aug 1998]]",
32,huh,72531,"Lot H., Antonio",Antonio Lot H.,Lot,Lot,Lot,"Lot H., Antonio",Mexico,NA,Alismataceae,NA,Antonio Lot H.,"Antonio, L.H.",antonio,ahilnnoot,"[author note: Univ. Nac. Aut. Mexico, Mexico D.F.; Alismataceae]",
33,huh,16169,"Keener, Brian Reid",NA,NA,NA,NA,NA,NA,NA,Asteraceae,NA,Brian Reid Keener,"Keener, B.R.",keener,beeeknrr,"[author note: Univ. Alabama; Asteraceae] [collector note: col. with R. Kral; F, GA, MO, NCU, NY, SP, TENN, UNA, US, USCH, VDB, WAT]",
34,huh,62920,"Bjorkqvist, Ingemar",Ingemar Bjîrkqvist,Bjîrkqvist,Bjîrkqv.,Bjîrkqvist,"Bjorkqvist, Ingemar",Sweden,NA,Alismataceae,NA,Ingemar Bjorkqvist,"Bjorkqvist, I.",bjorkqvist,biijkoqrstv,[author note: Herbarium and types: LD. Alismataceae],
35,huh,60187,"Barker, Robyn Mary",Robyn Mary Barker,R. M. Barker,R. M. Barker,R. M. Barker,"Barker, Robyn Mary",Australia (Country),NA,Malvaceae,NA,Robyn Mary Barker,"Barker, R.M.",barker,abekmrrr,"[author note: Acanthaceae, Malvaceae (Abutilon and Sida)]",
36,huh,951,"Chen, Jia-kuan",Jiakuan Chen,J. K. Chen,J. K. Chen,J. K. Chen,"Chen, Jia-kuan",China,China,Alismataceae,NA,Jia-kuan Chen,"Chen, J.",chen,cehjn,"[author note: WH; aquatic plants, Alismataceae] [collector note: WH; aquatic plants, Alismataceae]",
37,huh,60850,"Yang, Bao-Min",Bao Min Yang,B. M. Yang,B. M. Yang,B. M. Yang,"Yang, Bao-Min",China,NA,Amaranthaceae,NA,Bao-Min Yang,"Yang, B.",yang,abgny,[author note: HNNU; Bambusoideae and Amaranthaceae of Hunan],
38,huh,60850,"Yang, Bao-Min",Bao Min Yang,B. M. Yang,B. M. Yang,B. M. Yang,"Yang, Bao-Min",China,NA,Amaranthaceae,NA,Bao-Min Yang,"Yang, B.M.",yang,abgmny,[author note: HNNU; Bambusoideae and Amaranthaceae of Hunan],
39,huh,114219,"Bena, Maria Julia","Bena, M. J.",M. J. Bena,NA,M. J. Bena,"Bena, Maria Julia",South America,NA,Amaranthaceae,NA,Maria Julia Bena,"Bena, M.J.",bena,abejmn,[Author note: Amaranthaceae],
40,huh,10893,"Benl, Gerhard",Gerhard Benl,Benl,Benl,G. Benl,"Benl, Gerhard",Germany,Germany,Amaranthaceae,NA,Gerhard Benl,"Benl, G.",benl,begln,"Names published: Ptilotus appendiculatus Benl, Muelleria, 1(2): 102 (1959); Cheilanthes sventenii Benl, Nova Hedwigia 12: 147 (1966). Obituary in: Brit. Pterid. Soc. Bull. 5(6):352. 2001; Sendtnera 8: 195. 2002. [author note: Herbarium and types: M (Pteridophytes of tropical w. Africa; Ptilotus, Amaranthaceae)] [collector note: M]",
41,huh,3444,"Carretero, JosÇ Luis",JosÇ Luis Carretero,Carretero,Carretero,J. L. Carretero,"Carretero, JosÇ Luis",Spain,Spain,Amaranthaceae,NA,JosÈ Luis Carretero,"Carretero, J.L.",carretero,aceejlorrrt,"[author note: VALA: Weeds, especially Amaranthaceae, Poaceae] [collector note: VALA]",
42,huh,6611,"Clemants, Steven Earl",Steven Earl Clemants,Clemants,Clemants,S. E. Clemants,"Clemants, Steven Earl",Ecuador; Mexico; Peru; USA; Venezuela,Ecuador; Mexico; Peru; USA; Venezuela,Juncaceae,NA,Steven Earl Clemants,"Clemants, S.E.",clemants,aceelmnsst,"Example of Name Published: Chenopodium subsect. Foliosa Kowal ex S. L. Mosyakin & S.E. Clemants in Novon 6(4): 398. 1996. [author note: Herbarium and types: BKL, MINN, NY. Juncaceae, Amaranthaceae, Chenopodiaceae, Bejaria (Ericaceae)] [collector note: BKL; MINN, NY, NYS. Juncaceae, Chenopodiaceae, Amaranthaceae, Bejaria (Ericaceae)]",
43,huh,43360,"Covas, Guillermo",Guillermo Covas,Covas,Covas,G. Covas,"Covas, Guillermo",Argentina,Argentina,Poaceae,NA,Guillermo Covas,"Covas, G.",covas,acgosv,"[author note: Herbarium and types: ANGU. Poaceae, Amaranthaceae] [collector note: ANGU, BAA, NY, SF, SI, U]",
44,huh,316,"Eliasson, Uno H.",Uno H. Eliasson,Eliasson,Eliasson,U. H. Eliasson,"Eliasson, Uno H.",Sweden,Ecuador; Sweden,Amaranthaceae,NA,Uno H. Eliasson,"Eliasson, U.H.",eliasson,aehilnossu,"[author note: GB: Galapagos Islands flora, neotropical Amaranthaceae, myxomycetes] [collector note: GB, S]",
45,huh,50223,"Kovatschev, Ivan Galabov",Ivan Galabov Kovachev,Kovatschev,Kov.,I. G. Kovatschev,"Kovatschev, Ivan Galabov",Bulgaria,Bulgaria,Amaranthaceae,NA,Ivan Galabov Kovatschev,"Kovatschev, I.G.",kovatschev,aceghikostvv,"[author note: Amaranthus, Amaranthaceae] [collector note: SOA]",
46,huh,50223,"Kovatschev, Ivan Galabov",Ivan Galabov Kovachev,Kovatschev,Kov.,I. G. Kovatschev,"Kovatschev, Ivan Galabov",Bulgaria,Bulgaria,Amaranthaceae,NA,Ivan Galabov Kovatschev,"Kovachev, I.G.",kovachev,aceghikovv,"[author note: Amaranthus, Amaranthaceae] [collector note: SOA]",
47,huh,19284,"Sanchez-del Pino, Ivonne",Ivonne S†nchez-del Pino,S†nchez-del Pino,S†nch.Pino,I. S†nchez-del Pino,"Sanchez-del Pino, Ivonne",Mexico,Mexico,Amaranthaceae,NA,Ivonne Sanchez-del Pino,"Pino, I.S.",pino,iinops,"[author note: Univ. Nac. Aut. Mexico; Amaranthaceae; Col. at: ANSM, MO, NY, MEXU, TEX] [collector note: col. with H. Flores Olvera& C. G¢mez-Hinostrosa; ANSM, MEXU, MO, NY, TEX]",
48,huh,69209,"Siqueira, Josaf† Carlos de",Josefa Carlos de Sigueira,J. C. Siqueira,J. C. Siqueira,J. C. Siqueira,"Siqueira, Josefa Carlos de",Brazil,NA,Amaranthaceae,NA,Josaf· Carlos de Siqueira,"Siqueira, J.C.",siqueira,aceiijqrsu,[author note: FCAB; Amaranthaceae],
49,huh,69209,"Siqueira, Josaf† Carlos de",Josefa Carlos de Sigueira,J. C. Siqueira,J. C. Siqueira,J. C. Siqueira,"Siqueira, Josefa Carlos de",Brazil,NA,Amaranthaceae,NA,Josaf· Carlos de Siqueira,"Sigueira, J.C.",sigueira,acegiijrsu,[author note: FCAB; Amaranthaceae],
50,huh,80817,"Sauer, Jonathan Deininger",Jonathan Deininger Sauer,J. D. Sauer,J. D. Sauer,J. D. Sauer,"Sauer, Jonathan Deininger",USA,NA,Amaranthaceae,NA,Jonathan Deininger Sauer,"Sauer, J.D.",sauer,adejrsu,"[author note: Amaranthaceae, Canavalia (Fabaceae), Stenotaphrum (Poaceae); LA]",
51,huh,17912,"McCauley, Ross Anthony",Ross Anthony McCauley,R. A. McCauley,R. A. McCauley,R. A. McCauley,"McCauley, Ross Anthony",USA,Bolivia; Costa Rica; Ecuador; Mexico; USA,Amaranthaceae,NA,Ross Anthony McCauley,"Mccauley, R.A.",mccauley,aaccelmruy,"[author note: Ohio Univ.; Syst. Amaranthaceae] [collector note: BHO, INB, LPB, MEXU, MO, NY, USZ]",
52,huh,27106,"Pedersen, Troels Myndel",Troels Myndel Pedersen,Pedersen,Pedersen,T. M. Pedersen,"Pedersen, Troels Myndel",Argentina,Argentina; Denmark,Amaranthaceae,NA,Troels Myndel Pedersen,"Pedersen, T.M.",pedersen,deeemnprst,"[author note: CTES; Amaranthaceae, Apiaceae, Caryophyllaceae, local flora; Biography & Photograph in: Bonplandia (Corrientes) 10(1-4): 193-196. 2000] [collector note: A, BAA, C, CTES, HBR, LP, SI, US]",
53,huh,78633,"Doran, John Leonard",L. J. Doran,J. L. Doran,J. L. Doran,J. L. Doran,"Doran, John Leonard",USA,NA,Amaryllidaceae,NA,John Leonard Doran,"Doran, J.L.",doran,adjlnor,[author note: Amaryllidaceae],
54,huh,78633,"Doran, John Leonard",L. J. Doran,J. L. Doran,J. L. Doran,J. L. Doran,"Doran, John Leonard",USA,NA,Amaryllidaceae,NA,John Leonard Doran,"Doran, L.J.",doran,adjlnor,[author note: Amaryllidaceae],
55,huh,35810,"Fernandes, Abilio",Abilio Fernandes,A. Fernandes,A. Fern.,Abilio Fernandes,"Fernandes, Abilio",Portugal,Portugal,Amaryllidaceae,NA,Abilio Fernandes,"Fernandes, A.",fernandes,aadeefnnrs,"Example of Name Published: Lannea virgata R. Fernandes & A. Fernandes, Bol. Soc. Brot., ser. 2, 38: 146. 1965. [author note: Amaryllidaceae, flora of Portugal, Macaronesia and tropical Africa] [collector note: Col. 1947-x: C, COI, LISI]",
56,huh,38382,"Meerow, Alan W.",Alan W. Meerow,Meerow,Meerow,A. W. Meerow,"Meerow, Alan W.",USA,Panama; USA,Amaryllidaceae,NA,Alan W. Meerow,"Meerow, A.W.",meerow,aeemorww,"[author note: Amaryllidaceae; Univ. Florida-IFAS] [collector note: FLAS, FTG]",
57,huh,75204,"Hunziker, Armando Theodoro",Armando Theodoro Hunziker,Hunziker,Hunz.,Hunziker,"Hunziker, Armando Theodoro",Argentina,NA,Solanaceae,NA,Armando Theodoro Hunziker,"Hunziker, A.T.",hunziker,aehiknrtuz,"[author note: CORD; brother of Juan Hunziker; Solanaceae, Amaryllidaceae, Amaranthus, Cactaceae, central Argentine flora; Obituary & Photogr. in: Darwiniana 39(3-4): 355. 2001; Taxon 51: 393. 2002]",
58,huh,895,"Artjushenko, Z. T.",Z. T. Artjushenko,Artjushenko,Artjush.,Z. T. Artjushenko,"Artjushenko, Z. T.",Russia,NA,Amaryllidaceae,NA,Z. T. Artjushenko,"Artjushenko, Z.T.",artjushenko,aehjknorsttuz,[author note: Amaryllidaceae],
59,huh,49550,"Brandham, Peter Edward",Peter E. Brandham,Brandham,Brandham,P. E. Brandham,"Brandham, Peter Edward",NA,NA,Liliaceae,NA,Peter Edward Brandham,"Brandham, P.E.",brandham,aabdehmnpr,"[author note: K; Liliaceae, Amaryllidaceae] [collector note: K]",
60,huh,31156,"Clary, Karen Husum",Clary,Clary,Clary,K. H. Clary,"Clary, Karen Husum",USA,USA,Amaryllidaceae,NA,Karen Husum Clary,"Clary, K.H.",clary,achklry,"[author note: TEX; Amaryllidaceae;] [collector note: ANSM, MEXU, MO, TEX, US]",
61,huh,31156,"Clary, Karen Husum",Clary,Clary,Clary,K. H. Clary,"Clary, Karen Husum",USA,USA,Amaryllidaceae,NA,Karen Husum Clary,Clary,clary,aclry,"[author note: TEX; Amaryllidaceae;] [collector note: ANSM, MEXU, MO, TEX, US]",
62,huh,30783,"Snijman, DeirdrÇ Anne",Deirdre Anne Snijman,Snijman,Snijman,D. A. Snijman,"Snijman, DeirdrÇ Anne",South Africa,South Africa,Amaryllidaceae,NA,DeirdrÈ Anne Snijman,"Snijman, D.A.",snijman,aadijmnns,[author note: NBG: Amaryllidaceae - Strumaria and Hessea] [collector note: NBG],
63,huh,24539,"Lehmiller, David J.",David J. Lehmiller,Lehmiller,Lehmiller,D. J. Lehmiller,"Lehmiller, David J.",USA,USA,Amaryllidaceae,NA,David J. Lehmiller,"Lehmiller, D.J.",lehmiller,deehijlllmr,"medical physician, Beaumont, Texas [author note: Amaryllidaceae] [collector note: TAMU] Example of Name Published: Crinum giessii D. J. Lehmiller in Herbertia 52: 50. 1997.",
64,huh,60975,"Meyer, F. W.",Fred Meyer,F. W. Meyer,F. W. Mey.,F. W. Meyer,"Meyer, F. W.",USA,NA,Amaryllidaceae,NA,F. W. Meyer,"Meyer, F.W.",meyer,eefmrwy,[author note: Amaryllidaceae; biography: Herbertia 54: 33. 1999 (2000)],
65,huh,60975,"Meyer, F. W.",Fred Meyer,F. W. Meyer,F. W. Mey.,F. W. Meyer,"Meyer, F. W.",USA,NA,Amaryllidaceae,NA,F. W. Meyer,"Meyer, F.",meyer,eefmry,[author note: Amaryllidaceae; biography: Herbertia 54: 33. 1999 (2000)],
66,huh,77986,"Flory, Walter S.",Walter S. Flory,Flory,Flory,Flory,"Flory, Walter S.",USA,NA,Amaryllidaceae,NA,Walter S. Flory,"Flory, W.S.",flory,florswy,"[author note: Zephyranthes, Amaryllidaceae]",
67,huh,9790,"Friis, Ib",Ib Friis,Friis,Friis,I. Friis,"Friis, Ib",Denmark,Denmark; Ethiopia,Urticaceae,NA,Ib Friis,"Friis, I.",friis,fiiirs,"Example of Name Published: Norw. J. Bot. 18(3-4): 227. 1971. [author note: Urticaceae, Haemanthus, Amaryllidaceae] [collector note: C]",
68,huh,9791,"Smith, Gerald Lomax",Gerald Lomax Smith,G. Lom. Smith,G.Lom.Sm.,G. Lom. Smith,"Smith, Gerald Lomax",USA,Brazil; USA,Amaryllidaceae,NA,Gerald Lomax Smith,"Smith, G.L.",smith,ghilmst,"[author note: Highpoint Univ., NC; Cytotaxonomy of Amaryllidaceae, Syst. Piptocarpha, Floristics of the central Piedmont of North Carolina; Col. at: FLAS, FSU, GA, GH, GUA, HPU, MBM, MO, NY, RB, UB, US, USF] [collector note: FLAS, FSU, GA, GH, GUA, HPU, MBM, MO, NY, RB, UB, US, USF] Example of Name Published: Piptocarpha jonesiana G. Lom. Smith in Ann. Missouri Bot. Gard., 68: 661 (1981)",
69,huh,908,"Traub, Hamilton Paul",Hamilton Paul Traub,Traub,Traub,H. P. Traub,"Traub, Hamilton Paul",USA,Brazil; USA,Amaryllidaceae,NA,Hamilton Paul Traub,"Traub, H.P.",traub,abhprtu,"[author note: Herbarium and types: MO (formerly TRA); some types also at US. Amaryllidaceae] [collector note: Herbarium (worldwide, many collectors): MO (r. 1984: earlier at TRA)]",
70,huh,10112,"Howard, Thaddeus Monroe","Howard, T. M.",T. M. Howard,T. M. Howard,T. M. Howard,"Howard, Thaddeus Monroe",USA,Mexico,Amaryllidaceae,NA,Thaddeus Monroe Howard,"Howard, T.M.",howard,adhmortw,[author note: Amaryllidaceae; types at MO] [collector note: Col. Durango 1964-1967; GH],
71,huh,4347,"Ogden, Scott","Ogden, S.",S. Ogden,S. Ogden,S. Ogden,"Ogden, Scott",USA,Mexico,Amaryllidaceae,NA,Scott Ogden,"Ogden, S.",ogden,degnos,[author note: co-authored with T. M. Howard; Amaryllidaceae; types at MO] [collector note: col. with T. M. Howard; MO],
72,huh,40773,"Vorster, Pieter Johannes",Pieter Johannes Vorster,Vorster,Vorster,P. J. Vorster,"Vorster, Pieter Johannes",South Africa,South Africa,Amaryllidaceae,NA,Pieter Johannes Vorster,"Vorster, P.J.",vorster,ejoprrstv,"[author note: STEU: South African Mariscus and Amaryllidaceae, Cycadales] [collector note: (E. Transvaal & E. coastal areas): BM (r. 1976: 9 Bryo.), H (Bryo.), PRE, PRU, STEU.]",
73,huh,37623,"Barfod, Anders Sanchez",Anders S†nchez Barfod,Barfod,Barfod,A. S. Barfod,"Barfod, Anders Sanchez",Denmark,Denmark; Ecuador; Papua New Guinea; Thailand; Vietnam,Anacardiaceae,NA,Anders Sanchez Barfod,"Barfod, A.S.",barfod,aabdfors,"[author note: Types at: AAU; Anacardiaceae, Arecaceae, Fl. Ecuador & Thailand] [collector note: AAU, BRI, CANB, HNU, K, LAE]",
74,huh,24287,"Young, David A.",David A. Young,D. A. Young,D. A. Young,David A. Young,"Young, David A.",USA,USA,Anacardiaceae,NA,David A. Young,"Young, D.A.",young,adgnouy,[author note: SBBG: Anacardiaceae] [collector note: OKL],
75,huh,31606,"Hou, Ding",Ding Hou,Ding Hou,Ding Hou,Ding Hou,"Hou, Ding",Indonesia; Malaysia; Netherlands,China; Malaysia; Netherlands,Anacardiaceae,NA,Ding Hou,"Hou, D.",hou,dhou,"Example of Name Published: Ganoderma multipileum D. Hou, Quart. J. Taiwan Mus. 3: 101?105. 1950 (fungi); Anisophyllea corneri Ding Hou, Fl. Males., Ser. I, 5: 478. 1958. Research: revisions of Anacardiaceae, Anisophylleaceae, Aristolochiaceae, Celastraceae, Rhizophoraceae, and Thymelaeaceae of SE Asia. [author note: Herbarium and types: A, L (orig.). Malesian flora] [collector note: Born in Jiangxi Province; educated National Taiwan University, then Missouri Botanical Garden; worked on Flora of China project at A in early 1950s; then to Leiden to work on Fl. Malesiana. L]",
76,huh,21034,"Mitchell, John Daniel",John Daniel Mitchell,J. D. Mitchell,J. D. Mitch.,J. D. Mitchell,"Mitchell, John Daniel",French Guiana; Mexico; USA,USA,Anacardiaceae,NA,John Daniel Mitchell,"Mitchell, J.D.",mitchell,cdehijllmt,[author note: NY; Anacardiaceae] [collector note: NY],
77,huh,70165,"Kokwaro, John Ongayo",John Ongayo Kokwaro,Kokwaro,Kokwaro,Kokwaro,"Kokwaro, John Ongayo",Kenya,NA,Anacardiaceae,NA,John Ongayo Kokwaro,"Kokwaro, J.O.",kokwaro,ajkkooorw,[author note: Tropical e. African flora; Anacardiaceae; Rutaceae; Geraniaceae; Valerianaceae; e. African medicinal plants],
