order,status,source,loc,loc.correct,latitude.gazetteer,longitude.gazetteer,resolution.gazetteer,priority
27350,ok,cncflora,brazil_alagoas_penedo_murici / varzea marituba,brazil_alagoas_penedo_murici / varzea marituba,-10.315288,-36.434584,localidade,1
28809,ok,cncflora,brazil_alagoas_porto calvo_usina santa maria u.s.m.a,brazil_alagoas_porto calvo_usina santa maria u.s.m.a,-9.010136,-35.429772,localidade,1
27898,ok,cncflora,brazil_alagoas_quebrangulo_rebio pedra talhada,brazil_alagoas_quebrangulo_rebio pedra talhada,-9.242244381,-36.42408957,localidade,1
28808,ok,cncflora,brazil_alagoas_rio largo_usina santa clotilde s/a,brazil_alagoas_rio largo_usina santa clotilde s/a,-9.455826227,-35.85140551,localidade,1
28288,ok,cncflora,brazil_alagoas_sao luis quitunde_rppn mata garabu,brazil_alagoas_sao luis quitunde_rppn mata garabu,-9.282227028,-35.58156241,localidade,1
26721,ok,cncflora,brazil_alagoas_sao miguel campos_fabrica sebastiao ferreira,brazil_alagoas_sao miguel campos_fabrica sebastiao ferreira,-9.794969,-36.051492,localidade,1
26631,ok,cncflora,brazil_alagoas_sao miguel campos_fazenda sinimbu,brazil_alagoas_sao miguel campos_fazenda sinimbu,-9.78069,-36.076904,localidade,1
27283,ok,cncflora,brazil_alagoas_tanque arca_morro cruzeiro,brazil_alagoas_tanque arca_morro cruzeiro,-9.539047,-36.448571,localidade,1
26758,ok,cncflora,brazil_alagoas_teotonio vilela_gulandim,brazil_alagoas_teotonio vilela_gulandim,-9.955476,-36.405166,localidade,1
28424,ok,cncflora,brazil_alagoas_traipu_serra maos,brazil_alagoas_traipu_serra maos,-9.740257,-36.961441,localidade,1
26559,ok,cncflora,brazil_alagoas_vicosa_fazenda jussara,brazil_alagoas_vicosa_fazenda jussara,-9.423,-36.240629,localidade,1
28006,ok,cncflora,brazil_amapa_amapa_rio araguari,brazil_amapa_amapa_rio araguari,1.29740663,-50.29274023,localidade,1
25769,ok,cncflora,brazil_amapa_ferreira gomes_base flona amapa,brazil_amapa_ferreira gomes_base flona amapa,0.926846578,-51.59510564,localidade,1
26113,ok,cncflora,brazil_amapa_ferreira gomes_centroide grade trilhas ppbio amapa,brazil_amapa_ferreira gomes_centroide grade trilhas ppbio amapa,0.988793123,-51.63714083,localidade,1
28005,ok,cncflora,brazil_amapa_ferreira gomes_rio araguari,brazil_amapa_ferreira gomes_rio araguari,1.070826147,-51.91748718,localidade,1
28092,ok,cncflora,brazil_amapa_ferreira gomes_rio falsino,brazil_amapa_ferreira gomes_rio falsino,0.928752566,-51.59185292,localidade,1
28895,ok,cncflora,brazil_amapa_laranjal jari_agua branca,brazil_amapa_laranjal jari_agua branca,-0.710508418,-52.29979856,localidade,1
28115,ok,cncflora,brazil_amapa_laranjal jari_rio jari,brazil_amapa_laranjal jari_rio jari,-0.571876085,-52.55367246,localidade,1
26240,ok,cncflora,brazil_amapa_macapa_curiau,brazil_amapa_macapa_curiau,0.136899,-51.053432,localidade,1
25827,ok,cncflora,brazil_amapa_mazagao_braco cajari,brazil_amapa_mazagao_braco cajari,-0.867884245,-51.91704124,localidade,1
25991,ok,cncflora,brazil_amapa_mazagao_camaipi / embrapa,brazil_amapa_mazagao_camaipi / embrapa,0.005017,-51.933472,localidade,1
26301,ok,cncflora,brazil_amapa_mazagao_embrapa camaipi,brazil_amapa_mazagao_embrapa camaipi,0.16873812,-51.61919051,localidade,1
26694,ok,cncflora,brazil_amapa_mazagao_floresta ombrofila nao inundavel,brazil_amapa_mazagao_floresta ombrofila nao inundavel,-0.133313,-51.799972,localidade,1
27996,ok,cncflora,brazil_amapa_mazagao_rio ajuruxi,brazil_amapa_mazagao_rio ajuruxi,-0.502397468,-51.75553082,localidade,1
28244,ok,cncflora,brazil_amapa_mazagao_rio vila nova,brazil_amapa_mazagao_rio vila nova,0.208505,-51.756548,localidade,1
28008,ok,cncflora,brazil_amapa_porto grande_rio araguari,brazil_amapa_porto grande_rio araguari,0.850894914,-51.62349459,localidade,1
26732,ok,cncflora,brazil_amapa_vitoria jari_gleba felipe reserva genetica,brazil_amapa_vitoria jari_gleba felipe reserva genetica,-0.866454595,-52.36676642,localidade,1
27013,ok,cncflora,brazil_amazonas_alvaraes_lago tefe,brazil_amazonas_alvaraes_lago tefe,-3.301052853,-64.77688674,localidade,1
27014,ok,cncflora,brazil_amazonas_anama_lago anama,brazil_amazonas_anama_lago anama,-3.521282,-61.571747,localidade,1
25596,ok,cncflora,brazil_amazonas_apui_acampamento dner,brazil_amazonas_apui_acampamento dner,-7.54679516,-60.66941416,localidade,1
26703,ok,cncflora,brazil_amazonas_apui_foz rio juuena / tapajos,brazil_amazonas_apui_foz rio juuena / tapajos,-7.354063742,-58.14841397,localidade,1
26825,ok,cncflora,brazil_amazonas_apui_igarape jatuarana,brazil_amazonas_apui_igarape jatuarana,-7.324297871,-59.11230039,localidade,1
26888,ok,cncflora,brazil_amazonas_apui_iparape juburu,brazil_amazonas_apui_iparape juburu,-7.184856,-59.047965,localidade,1
27813,ok,cncflora,brazil_amazonas_apui_prainha,brazil_amazonas_apui_prainha,-7.231238,-60.645857,localidade,1
27819,ok,cncflora,brazil_amazonas_apui_projeto incra rio juma,brazil_amazonas_apui_projeto incra rio juma,-7.25168,-60.000024,localidade,1
28010,ok,cncflora,brazil_amazonas_apui_rio aripuana,brazil_amazonas_apui_rio aripuana,-8.364004,-59.803611,localidade,1
28015,ok,cncflora,brazil_amazonas_apui_rio bararati,brazil_amazonas_apui_rio bararati,-7.5057115,-58.25600924,localidade,1
28128,ok,cncflora,brazil_amazonas_apui_rio jurema,brazil_amazonas_apui_rio jurema,-7.520455183,-58.2236472,localidade,1
28208,ok,cncflora,brazil_amazonas_apui_rio sucunduri,brazil_amazonas_apui_rio sucunduri,-7.318699672,-58.81024335,localidade,1
28239,ok,cncflora,brazil_amazonas_apui_rio urucu,brazil_amazonas_apui_rio urucu,-7.226176673,-58.93955758,localidade,1
28604,ok,cncflora,brazil_amazonas_apui_sucunduri,brazil_amazonas_apui_sucunduri,-6.794219,-59.056933,localidade,1
27930,ok,cncflora,brazil_amazonas_atalaia norte_reserva ecologica palmari,brazil_amazonas_atalaia norte_reserva ecologica palmari,-5.042847,-71.469461,localidade,1
28120,ok,cncflora,brazil_amazonas_atalaia norte_rio javari,brazil_amazonas_atalaia norte_rio javari,-5.408476361,-71.14329318,localidade,1
28831,ok,cncflora,brazil_amazonas_atalaia norte_vale javari,brazil_amazonas_atalaia norte_vale javari,-5.369114,-71.632173,localidade,1
25597,ok,cncflora,brazil_amazonas_barcelos_acampamento fosso,brazil_amazonas_barcelos_acampamento fosso,0.862989633,-63.33305511,localidade,1
25910,ok,cncflora,brazil_amazonas_barcelos_cachoeira desabamento,brazil_amazonas_barcelos_cachoeira desabamento,0.877063999,-63.322017,localidade,1
25911,ok,cncflora,brazil_amazonas_barcelos_cachoeira eldorado,brazil_amazonas_barcelos_cachoeira eldorado,0.873102,-63.340768,localidade,1
26811,ok,cncflora,brazil_amazonas_barcelos_igarape oncas,brazil_amazonas_barcelos_igarape oncas,0.814685951,-62.52932638,localidade,1
27682,ok,cncflora,brazil_amazonas_barcelos_plato serra araca,brazil_amazonas_barcelos_plato serra araca,0.911458,-63.420436,localidade,1
28003,ok,cncflora,brazil_amazonas_barcelos_rio araca,brazil_amazonas_barcelos_rio araca,-0.22507494,-63.09438929,localidade,1
28053,ok,cncflora,brazil_amazonas_barcelos_rio cuiuni,brazil_amazonas_barcelos_rio cuiuni,-1.117448027,-64.13139697,localidade,1
28119,ok,cncflora,brazil_amazonas_barcelos_rio jauari / araca,brazil_amazonas_barcelos_rio jauari / araca,0.515516257,-63.48473849,localidade,1
28445,ok,cncflora,brazil_amazonas_barcelos_serra araca,brazil_amazonas_barcelos_serra araca,0.816667374,-63.31666554,localidade,1
26833,ok,cncflora,brazil_amazonas_barreirinha_igarape tigre,brazil_amazonas_barreirinha_igarape tigre,-3.197261437,-57.22241717,localidade,1
27999,ok,cncflora,brazil_amazonas_barreirinha_rio andira,brazil_amazonas_barreirinha_rio andira,-3.136123054,-57.13597515,localidade,1
26326,ok,cncflora,brazil_amazonas_benjamin constant_esperanca,brazil_amazonas_benjamin constant_esperanca,-4.40638302,-69.86944586,localidade,1
26805,ok,cncflora,brazil_amazonas_beruri_igarape araca,brazil_amazonas_beruri_igarape araca,-4.731289833,-62.24443795,localidade,1
27916,ok,cncflora,brazil_amazonas_beruri_reserva desenvolvimento sustentavel igapo acu,brazil_amazonas_beruri_reserva desenvolvimento sustentavel igapo acu,-4.70969021,-61.29383354,localidade,1
25710,ok,cncflora,brazil_amazonas_borba_axinim,brazil_amazonas_borba_axinim,-4.174268,-58.704299,localidade,1
25799,ok,cncflora,brazil_amazonas_borba_borba,brazil_amazonas_borba_borba,-4.392935,-59.601945,localidade,1
26792,ok,cncflora,brazil_amazonas_borba_iagarape jacare,brazil_amazonas_borba_iagarape jacare,-4.008886195,-59.11895863,localidade,1
26793,ok,cncflora,brazil_amazonas_borba_iagarape jacuarana,brazil_amazonas_borba_iagarape jacuarana,-4.690928,-59.431343,localidade,1
26972,ok,cncflora,brazil_amazonas_borba_km 240 +,brazil_amazonas_borba_km 240 +,-4.643741537,-61.25856109,localidade,1
27408,ok,cncflora,brazil_amazonas_borba_parana canhuma,brazil_amazonas_borba_parana canhuma,-3.968909409,-59.12251164,localidade,1
27411,ok,cncflora,brazil_amazonas_borba_parana uraria,brazil_amazonas_borba_parana uraria,-3.963460344,-59.05862184,localidade,1
27991,ok,cncflora,brazil_amazonas_borba_rio abacaxi,brazil_amazonas_borba_rio abacaxi,-4.104154828,-58.72479166,localidade,1
27993,ok,cncflora,brazil_amazonas_borba_rio acari,brazil_amazonas_borba_rio acari,-6.505034941,-59.765679,localidade,1
28012,ok,cncflora,brazil_amazonas_borba_rio autaz mirim,brazil_amazonas_borba_rio autaz mirim,-4.427962546,-59.94790279,localidade,1
28031,ok,cncflora,brazil_amazonas_borba_rio canuma,brazil_amazonas_borba_rio canuma,-4.183015547,-59.20012646,localidade,1
28140,ok,cncflora,brazil_amazonas_borba_rio madeira,brazil_amazonas_borba_rio madeira,-4.179222412,-59.37566598,localidade,1
28149,ok,cncflora,brazil_amazonas_borba_rio marimari,brazil_amazonas_borba_rio marimari,-4.183930304,-58.95390783,localidade,1
28207,ok,cncflora,brazil_amazonas_borba_rio sucunduri,brazil_amazonas_borba_rio sucunduri,-5.890990893,-59.19659966,localidade,1
28603,ok,cncflora,brazil_amazonas_borba_sucunduri,brazil_amazonas_borba_sucunduri,-5.590732,-59.554682,localidade,1
27018,ok,cncflora,brazil_amazonas_caapiranga_lago grande manacapuru,brazil_amazonas_caapiranga_lago grande manacapuru,-3.082057,-61.488509,localidade,1
28106,ok,cncflora,brazil_amazonas_canutama_rio itaparana,brazil_amazonas_canutama_rio itaparana,-7.198212805,-63.70734897,localidade,1
28194,ok,cncflora,brazil_amazonas_canutama_rio purus entre santa maria e mari,brazil_amazonas_canutama_rio purus entre santa maria e mari,-6.883423,-64.669766,localidade|sublocalidade,1
28017,ok,cncflora,brazil_amazonas_carauari_rio bia,brazil_amazonas_carauari_rio bia,-4.856308,-67.625669,localidade,1
28131,ok,cncflora,brazil_amazonas_carauari_rio jurua,brazil_amazonas_carauari_rio jurua,-4.398882,-66.542115,localidade,1
26802,ok,cncflora,brazil_amazonas_careiro_igarape tupana,brazil_amazonas_careiro_igarape tupana,-3.858446,-60.376077,localidade,1
27407,ok,cncflora,brazil_amazonas_careiro_parana araca,brazil_amazonas_careiro_parana araca,-3.45655276,-59.99658828,localidade,1
28037,ok,cncflora,brazil_amazonas_careiro_rio castanho,brazil_amazonas_careiro_rio castanho,-3.829921,-60.372462,localidade,1
27406,ok,cncflora,brazil_amazonas_careiro varzea_parana autaz mirim,brazil_amazonas_careiro varzea_parana autaz mirim,-3.275114,-59.89515,localidade,1
25770,ok,cncflora,brazil_amazonas_coari_base petrolifera geologo pedro moura,brazil_amazonas_coari_base petrolifera geologo pedro moura,-4.8860105,-65.15450987,localidade,1
26803,ok,cncflora,brazil_amazonas_coari_igarape acu,brazil_amazonas_coari_igarape acu,-4.132082548,-62.34002257,localidade,1
26817,ok,cncflora,brazil_amazonas_coari_igarape passarinho,brazil_amazonas_coari_igarape passarinho,-4.897724,-64.432746,localidade,1
27718,ok,cncflora,brazil_amazonas_coari_porto urucu,brazil_amazonas_coari_porto urucu,-4.857338,-65.341909,localidade,1
27829,ok,cncflora,brazil_amazonas_coari_provincia petrolifera urucu petrobras,brazil_amazonas_coari_provincia petrolifera urucu petrobras,-4.86306731,-65.29978885,localidade,1
28116,ok,cncflora,brazil_amazonas_eirunepe_rio jarua,brazil_amazonas_eirunepe_rio jarua,-6.537619553,-69.63522839,localidade,1
28220,ok,cncflora,brazil_amazonas_envira_rio tarauaca,brazil_amazonas_envira_rio tarauaca,-7.510654612,-70.23739791,localidade,1
26383,ok,cncflora,brazil_amazonas_guajara_estrada alemanha,brazil_amazonas_guajara_estrada alemanha,-7.582796,-72.708208,localidade,1
26496,ok,cncflora,brazil_amazonas_humaita_fazenda brasilia,brazil_amazonas_humaita_fazenda brasilia,-7.605150306,-63.17013657,localidade,1
26808,ok,cncflora,brazil_amazonas_humaita_igarape beem,brazil_amazonas_humaita_igarape beem,-7.618077514,-63.01747861,localidade,1
27389,ok,cncflora,brazil_amazonas_humaita_on plateau between rio livramento and rio ipixuna,brazil_amazonas_humaita_on plateau between rio livramento and rio ipixuna,-6.499972,-62.499986,localidade,1
28101,ok,cncflora,brazil_amazonas_humaita_rio ipixuna,brazil_amazonas_humaita_rio ipixuna,-7.135031901,-62.50623749,localidade,1
28136,ok,cncflora,brazil_amazonas_humaita_rio livramento (?),brazil_amazonas_humaita_rio livramento (?),-7.000125,-62.499615,localidade,1
28141,ok,cncflora,brazil_amazonas_humaita_rio maici,brazil_amazonas_humaita_rio maici,-6.53501412,-61.76469871,localidade,1
28688,ok,cncflora,brazil_amazonas_humaita_transamazonica rio madeira,brazil_amazonas_humaita_transamazonica rio madeira,-7.490873,-63.008843,localidade,1
28751,ok,cncflora,brazil_amazonas_humaita_tres casas,brazil_amazonas_humaita_tres casas,-6.987642006,-62.68395383,localidade,1
25851,ok,cncflora,brazil_amazonas_iranduba_cacau pirera,brazil_amazonas_iranduba_cacau pirera,-3.1721,-60.084425,localidade,1
26838,ok,cncflora,brazil_amazonas_iranduba_ilha marchantaria,brazil_amazonas_iranduba_ilha marchantaria,-3.239167,-59.938889,localidade,1
27017,ok,cncflora,brazil_amazonas_iranduba_lago janauari,brazil_amazonas_iranduba_lago janauari,-3.201131,-60.042871,localidade,1
28009,ok,cncflora,brazil_amazonas_iranduba_rio ariau/ hotel ariau,brazil_amazonas_iranduba_rio ariau/ hotel ariau,-3.094377,-60.443659,localidade,1
26952,ok,cncflora,brazil_amazonas_itacoatiara_km 144,brazil_amazonas_itacoatiara_km 144,-2.942442966,-59.32383746,localidade,1
26953,ok,cncflora,brazil_amazonas_itacoatiara_km 145,brazil_amazonas_itacoatiara_km 145,-2.900819,-59.096951,localidade,1
26961,ok,cncflora,brazil_amazonas_itacoatiara_km 195/ picada 27,brazil_amazonas_itacoatiara_km 195/ picada 27,-2.911627,-59.043733,localidade,1
27150,ok,cncflora,brazil_amazonas_itacoatiara_mil madereira itacoatiara s.a,brazil_amazonas_itacoatiara_mil madereira itacoatiara s.a,-3.05477,-58.730044,localidade,1
28237,ok,cncflora,brazil_amazonas_itacoatiara_rio urubu,brazil_amazonas_itacoatiara_rio urubu,-3.10023601,-58.89777519,localidade,1
27022,ok,cncflora,brazil_amazonas_japura_lago mapari,brazil_amazonas_japura_lago mapari,-1.920656,-66.984648000000007,localidade,1
28114,ok,cncflora,brazil_amazonas_japura_rio japura,brazil_amazonas_japura_rio japura,-1.685429732,-68.38414995,localidade,1
27410,ok,cncflora,brazil_amazonas_jurua_parana minerua,brazil_amazonas_jurua_parana minerua,-3.003490593,-66.16548315,localidade,1
28129,ok,cncflora,brazil_amazonas_jurua_rio jurua,brazil_amazonas_jurua_rio jurua,-2.808642777,-65.86508915,localidade,1
26046,ok,cncflora,brazil_amazonas_jutai_capessu,brazil_amazonas_jutai_capessu,-2.717718,-66.699725,localidade,1
28134,ok,cncflora,brazil_amazonas_jutai_rio jutai,brazil_amazonas_jutai_rio jutai,-2.774801,-66.84559,localidade,1
25787,ok,cncflora,brazil_amazonas_labrea_boca curuquete,brazil_amazonas_labrea_boca curuquete,-8.328332,-65.675551,localidade,1
26800,ok,cncflora,brazil_amazonas_labrea_igarape puciari,brazil_amazonas_labrea_igarape puciari,-7.389251,-64.917821,localidade,1
27084,ok,cncflora,brazil_amazonas_labrea_labrea,brazil_amazonas_labrea_labrea,-8.697850787,-65.47572266,localidade,1
28062,ok,cncflora,brazil_amazonas_labrea_rio curuquete,brazil_amazonas_labrea_rio curuquete,-8.766684542,-65.57250759,localidade,1
28108,ok,cncflora,brazil_amazonas_labrea_rio ituxi,brazil_amazonas_labrea_rio ituxi,-7.369564,-64.932033,localidade,1
28193,ok,cncflora,brazil_amazonas_labrea_rio purus,brazil_amazonas_labrea_rio purus,-7.699823784,-65.83972312,localidade,1
26178,ok,cncflora,brazil_amazonas_manacapuru_comunidade nossa senhora gracas,brazil_amazonas_manacapuru_comunidade nossa senhora gracas,-3.345852,-60.646375,localidade|sublocalidade,1
27016,ok,cncflora,brazil_amazonas_manacapuru_lago calado,brazil_amazonas_manacapuru_lago calado,-3.302234,-60.566679,localidade,1
26176,ok,cncflora,brazil_amazonas_manaquiri_comunidade italiano,brazil_amazonas_manaquiri_comunidade italiano,-3.475529,-60.349512,localidade,1
27015,ok,cncflora,brazil_amazonas_manaquiri_lago baixio,brazil_amazonas_manaquiri_lago baixio,-3.369625,-60.346255,localidade,1
