"order","source","kingdom","name","name.correct","order.correct","class.correct"
50,"apg_v14|col_v2025","plantae","Allophylaceae","Sapindaceae","Sapindales","Magnoliopsida"
51,"apg_v14|col_v2025","plantae","Alniphyllaceae","Styracaceae","Ericales","Magnoliopsida"
52,"apg_v14","plantae","Aloaceae","Asphodelaceae","Asparagales","Liliopsida"
53,"apg_v14","plantae","Alopecuraceae","Poaceae","Poales","Liliopsida"
54,"apg_v14","plantae","Alpiniaceae","Zingiberaceae","Zingiberales","Liliopsida"
55,"apg_v14|col_v2025","plantae","Alseuosmiaceae","Alseuosmiaceae","Asterales","Magnoliopsida"
56,"apg_v14|col_v2025","plantae","Alsinaceae","Caryophyllaceae","Caryophyllales","Magnoliopsida"
57,"apg_v14|col_v2025","plantae","Alsodeiaceae","Violaceae","Malpighiales","Magnoliopsida"
58,"apg_v14|col_v2025","plantae","Alsophilaceae","Cyatheaceae","Cyatheales","Polypodiopsida"
59,"apg_v14|col_v2025","plantae","Alstroemeriaceae","Alstroemeriaceae","Liliales","Liliopsida"
60,"apg_v14|col_v2025","plantae","Altingiaceae","Altingiaceae","Saxifragales","Magnoliopsida"
61,"apg_v14|col_v2025","plantae","Alzateaceae","Alzateaceae","Myrtales","Magnoliopsida"
62,"apg_v14|col_v2025","plantae","Amaranthaceae","Amaranthaceae","Caryophyllales","Magnoliopsida"
63,"apg_v14|col_v2025","plantae","Amaryllidaceae","Amaryllidaceae","Asparagales","Liliopsida"
64,"apg_v14|col_v2025","plantae","Amborellaceae","Amborellaceae","Amborellales","Magnoliopsida"
65,"apg_v14|col_v2025","plantae","Ambrosiaceae","Asteraceae","Asterales","Magnoliopsida"
66,"apg_v14","plantae","Amentotaxaceae","Taxaceae","Cupressales","Pinopsida"
67,"apg_v14|col_v2025","plantae","Ammanniaceae","Lythraceae","Myrtales","Magnoliopsida"
68,"apg_v14|col_v2025","plantae","Ammiaceae","Apiaceae","Apiales","Magnoliopsida"
69,"apg_v14","plantae","Amomaceae","Zingiberaceae","Zingiberales","Liliopsida"
70,"apg_v14|col_v2025","plantae","Ampelopsidaceae","Vitaceae","Vitales","Magnoliopsida"
71,"apg_v14","plantae","Amphorogynaceae","Santalaceae","Santalales","Magnoliopsida"
72,"apg_v14|col_v2025","plantae","Amygdalaceae","Rosaceae","Rosales","Magnoliopsida"
73,"apg_v14|col_v2025","plantae","Amyridaceae","Rutaceae","Sapindales","Magnoliopsida"
74,"apg_v14|col_v2025","plantae","Anacampserotaceae","Anacampserotaceae","Caryophyllales","Magnoliopsida"
75,"apg_v14|col_v2025","plantae","Anacardiaceae","Anacardiaceae","Sapindales","Magnoliopsida"
76,"apg_v14|col_v2025","plantae","Anagallidaceae","Primulaceae","Ericales","Magnoliopsida"
77,"apg_v14","plantae","Anarthriaceae","Restionaceae","Poales","Liliopsida"
78,"apg_v14|col_v2025","plantae","Anchusaceae","Boraginaceae","Boraginales","Magnoliopsida"
79,"apg_v14|col_v2025","plantae","Ancistrocladaceae","Ancistrocladaceae","Caryophyllales","Magnoliopsida"
80,"apg_v14|col_v2025","plantae","Andromedaceae","Ericaceae","Ericales","Magnoliopsida"
81,"apg_v14","plantae","Andropogonaceae","Poaceae","Poales","Liliopsida"
82,"apg_v14","plantae","Androstachyaceae","Picrodendraceae","Malpighiales","Magnoliopsida"
83,"apg_v14","plantae","Androsynaceae","Tecophilaeaceae","Asparagales","Liliopsida"
84,"apg_v14","plantae","Anemarrhenaceae","Asparagaceae","Asparagales","Liliopsida"
85,"apg_v14|col_v2025","plantae","Anemonaceae","Ranunculaceae","Ranunculales","Magnoliopsida"
86,"apg_v14|col_v2025","plantae","Angelicaceae","Apiaceae","Apiales","Magnoliopsida"
87,"apg_v14","plantae","Angeloniaceae","Plantaginaceae","Lamiales","Magnoliopsida"
88,"apg_v14|col_v2025","plantae","Angiopteridaceae","Marattiaceae","Marattiales","Polypodiopsida"
89,"apg_v14|col_v2025","plantae","Anisophylleaceae","Anisophylleaceae","Cucurbitales","Magnoliopsida"
90,"apg_v14|col_v2025","plantae","Annonaceae","Annonaceae","Magnoliales","Magnoliopsida"
91,"apg_v14","plantae","Anomochloaceae","Poaceae","Poales","Liliopsida"
92,"apg_v14|col_v2025","plantae","Anopteraceae","Escalloniaceae","Escalloniales","Magnoliopsida"
93,"apg_v14","plantae","Anopteridaceae","Pteridaceae","Polypodiales","Polypodiopsida"
94,"apg_v14|col_v2025","plantae","Anrederaceae","Basellaceae","Caryophyllales","Magnoliopsida"
95,"apg_v14","plantae","Anthemidaceae","Asteroideae","Asterales","Magnoliopsida"
96,"apg_v14","plantae","Anthericaceae","Asparagaceae","Asparagales","Liliopsida"
97,"apg_v14","plantae","Anthobolaceae","Opiliaceae","Santalales","Magnoliopsida"
98,"apg_v14","plantae","Anthoxanthaceae","Poaceae","Poales","Liliopsida"
99,"apg_v14","plantae","Antidesmataceae","Phyllanthaceae","Malpighiales","Magnoliopsida"
100,"apg_v14|col_v2025","plantae","Antirrhinaceae","Plantaginaceae","Lamiales","Magnoliopsida"
101,"apg_v14|col_v2025","plantae","Antoniaceae","Loganiaceae","Gentianales","Magnoliopsida"
102,"apg_v14|col_v2025","plantae","Antrophyaceae","Pteridaceae","Polypodiales","Polypodiopsida"
103,"apg_v14","plantae","Aparinaceae","Rubiaceae","Gentianales","Magnoliopsida"
104,"apg_v14|col_v2025","plantae","Aphanopetalaceae","Aphanopetalaceae","Saxifragales","Magnoliopsida"
105,"apg_v14|col_v2025","plantae","Aphloiaceae","Aphloiaceae","Crossosomatales","Magnoliopsida"
106,"apg_v14","plantae","Aphyllanthaceae","Asparagaceae","Asparagales","Liliopsida"
107,"apg_v14|col_v2025","plantae","Apiaceae","Apiaceae","Apiales","Magnoliopsida"
108,"apg_v14|col_v2025","plantae","Apocynaceae","Apocynaceae","Gentianales","Magnoliopsida"
109,"apg_v14|col_v2025","plantae","Apodanthaceae","Apodanthaceae","Cucurbitales","Magnoliopsida"
110,"apg_v14|col_v2025","plantae","Aponogetonaceae","Aponogetonaceae","Alismatales","Liliopsida"
111,"apg_v14","plantae","Aporusaceae","Phyllanthaceae","Malpighiales","Magnoliopsida"
112,"apg_v14|col_v2025","plantae","Aposeridaceae","Asteraceae","Asterales","Magnoliopsida"
113,"apg_v14","plantae","Apostasiaceae","Orchidaceae","Asparagales","Liliopsida"
114,"apg_v14|col_v2025","plantae","Aptandraceae","Aptandraceae","Santalales","Magnoliopsida"
115,"apg_v14|col_v2025","plantae","Aquifoliaceae","Aquifoliaceae","Aquifoliales","Magnoliopsida"
116,"apg_v14|col_v2025","plantae","Aquilariaceae","Thymelaeaceae","Malvales","Magnoliopsida"
117,"apg_v14|col_v2025","plantae","Aquilegiaceae","Ranunculaceae","Ranunculales","Magnoliopsida"
118,"apg_v14|col_v2025","plantae","Arabidaceae","Brassicaceae","Brassicales","Magnoliopsida"
119,"apg_v14|col_v2025","plantae","Araceae","Araceae","Alismatales","Liliopsida"
120,"apg_v14|col_v2025","plantae","Aragoaceae","Plantaginaceae","Lamiales","Magnoliopsida"
121,"apg_v14|col_v2025","plantae","Araliaceae","Araliaceae","Apiales","Magnoliopsida"
122,"apg_v14|col_v2025","plantae","Aralidiaceae","Torricelliaceae","Apiales","Magnoliopsida"
123,"apg_v14|col_v2025","plantae","Araucariaceae","Araucariaceae","Cupressales","Pinopsida"
124,"apg_v14|col_v2025","plantae","Arbutaceae","Ericaceae","Ericales","Magnoliopsida"
125,"apg_v14|col_v2025","plantae","Arceuthidaceae","Cupressaceae","Cupressales","Pinopsida"
126,"apg_v14","plantae","Arceuthobiaceae","Santalaceae","Santalales","Magnoliopsida"
127,"apg_v14|col_v2025","plantae","Arctostaphylaceae","Ericaceae","Ericales","Magnoliopsida"
128,"apg_v14|col_v2025","plantae","Arctotidaceae","Asteraceae","Asterales","Magnoliopsida"
129,"apg_v14|col_v2025","plantae","Ardisiaceae","Primulaceae","Ericales","Magnoliopsida"
130,"apg_v14|col_v2025","plantae","Arecaceae","Arecaceae","Arecales","Liliopsida"
131,"apg_v14|col_v2025","plantae","Argophyllaceae","Argophyllaceae","Asterales","Magnoliopsida"
132,"apg_v14","plantae","Arisaraceae","Araceae","Alismatales","Liliopsida"
133,"apg_v14|col_v2025","plantae","Aristolochiaceae","Aristolochiaceae","Piperales","Magnoliopsida"
134,"apg_v14|col_v2025","plantae","Aristoteliaceae","Elaeocarpaceae","Oxalidales","Magnoliopsida"
135,"apg_v14|col_v2025","plantae","Arjonaceae","Schoepfiaceae","Santalales","Magnoliopsida"
136,"apg_v14|col_v2025","plantae","Armeriaceae","Plumbaginaceae","Caryophyllales","Magnoliopsida"
137,"apg_v14|col_v2025","plantae","Artemisiaceae","Asteraceae","Asterales","Magnoliopsida"
138,"apg_v14","plantae","Arthrotaxidaceae","Cupressaceae","Cupressales","Pinopsida"
139,"apg_v14|col_v2025","plantae","Artocarpaceae","Moraceae","Rosales","Magnoliopsida"
140,"apg_v14","plantae","Arundinaceae","Poaceae","Poales","Liliopsida"
141,"apg_v14","plantae","Arundinellaceae","Poaceae","Poales","Liliopsida"
142,"apg_v14","plantae","Asaraceae","Aristolochiaceae","Piperales","Magnoliopsida"
143,"apg_v14|col_v2025","plantae","Asclepiadaceae","Apocynaceae","Gentianales","Magnoliopsida"
144,"apg_v14|col_v2025","plantae","Ascyraceae","Hypericaceae","Malpighiales","Magnoliopsida"
145,"apg_v14","plantae","Aspalathaceae","Fabaceae","Fabales","Magnoliopsida"
146,"apg_v14|col_v2025","plantae","Asparagaceae","Asparagaceae","Asparagales","Liliopsida"
147,"apg_v14","plantae","Asperellaceae","Poaceae","Poales","Liliopsida"
148,"apg_v14","plantae","Asperulaceae","Rubiaceae","Gentianales","Magnoliopsida"
149,"apg_v14|col_v2025","plantae","Asphodelaceae","Asphodelaceae","Asparagales","Liliopsida"
150,"apg_v14|col_v2025","plantae","Aspidiaceae","Dryopteridaceae","Polypodiales (Eupolypod I)","Polypodiopsida"
151,"apg_v14","plantae","Aspidistraceae","Asparagaceae","Asparagales","Liliopsida"
152,"apg_v14|col_v2025","plantae","Asteliaceae","Asteliaceae","Asparagales","Liliopsida"
153,"apg_v14|col_v2025","plantae","Asteraceae","Asteraceae","Asterales","Magnoliopsida"
154,"apg_v14","plantae","Asteranthaceae","Lecythidaceae","Ericales","Magnoliopsida"
155,"apg_v14|col_v2025","plantae","Asteropeiaceae","Asteropeiaceae","Caryophyllales","Magnoliopsida"
156,"apg_v14","plantae","Astragalaceae","Fabaceae","Fabales","Magnoliopsida"
157,"apg_v14|col_v2025","plantae","Astrocarpaceae","Resedaceae","Brassicales","Magnoliopsida"
158,"apg_v14|col_v2025","plantae","Athanasiaceae","Asteraceae","Asterales","Magnoliopsida"
159,"apg_v14|col_v2025","plantae","Atherospermataceae","Atherospermataceae","Laurales","Magnoliopsida"
160,"apg_v14|col_v2025","plantae","Atriplicaceae","Amaranthaceae","Caryophyllales","Magnoliopsida"
161,"apg_v14|col_v2025","plantae","Atropaceae","Solanaceae","Solanales","Magnoliopsida"
162,"apg_v14","plantae","Aucubaceae","Garryaceae","Garryales","Magnoliopsida"
163,"apg_v14|col_v2025","plantae","Aurantiaceae","Rutaceae","Sapindales","Magnoliopsida"
164,"apg_v14|col_v2025","plantae","Austrobaileyaceae","Austrobaileyaceae","Austrobaileyales","Magnoliopsida"
165,"apg_v14","plantae","Austrotaxaceae","Taxaceae","Cupressales","Pinopsida"
166,"apg_v14","plantae","Avenaceae","Poaceae","Poales","Liliopsida"
167,"apg_v14|col_v2025","plantae","Averrhoaceae","Oxalidaceae","Oxalidales","Magnoliopsida"
168,"apg_v14","plantae","Avetraceae","Dioscoreaceae","Dioscoreales","Liliopsida"
169,"apg_v14|col_v2025","plantae","Avicenniaceae","Acanthaceae","Lamiales","Magnoliopsida"
170,"apg_v14|col_v2025","plantae","Azaleaceae","Ericaceae","Ericales","Magnoliopsida"
171,"apg_v14|col_v2025","plantae","Azimaceae","Salvadoraceae","Brassicales","Magnoliopsida"
172,"apg_v14|col_v2025","plantae","Azollaceae","Salviniaceae","Marsileales","Polypodiopsida"
173,"apg_v14|col_v2025","plantae","Baeckeaceae","Myrtaceae","Myrtales","Magnoliopsida"
174,"apg_v14|col_v2025","plantae","Balanitaceae","Zygophyllaceae","Zygophyllales","Magnoliopsida"
175,"apg_v14|col_v2025","plantae","Balanopaceae","Balanopaceae","Malpighiales","Magnoliopsida"
176,"apg_v14|col_v2025","plantae","Balanophoraceae","Balanophoraceae","Santalales","Magnoliopsida"
177,"apg_v14|col_v2025","plantae","Balsameaceae","Burseraceae","Sapindales","Magnoliopsida"
178,"apg_v14|col_v2025","plantae","Balsaminaceae","Balsaminaceae","Ericales","Magnoliopsida"
179,"apg_v14","plantae","Bambusaceae","Poaceae","Poales","Liliopsida"
180,"apg_v14","plantae","Barbaceniaceae","Velloziaceae","Pandanales","Liliopsida"
181,"apg_v14|col_v2025","plantae","Barbeuiaceae","Barbeuiaceae","Caryophyllales","Magnoliopsida"
182,"apg_v14|col_v2025","plantae","Barbeyaceae","Barbeyaceae","Rosales","Magnoliopsida"
183,"apg_v14|col_v2025","plantae","Barclayaceae","Nymphaeaceae","Nymphaeales","Magnoliopsida"
184,"apg_v14","plantae","Barringtoniaceae","Lecythidaceae","Ericales","Magnoliopsida"
185,"apg_v14|col_v2025","plantae","Basellaceae","Basellaceae","Caryophyllales","Magnoliopsida"
186,"apg_v14|col_v2025","plantae","Bataceae","Bataceae","Brassicales","Magnoliopsida"
187,"apg_v14|col_v2025","plantae","Baueraceae","Cunoniaceae","Oxalidales","Magnoliopsida"
188,"apg_v14","plantae","Bauhiniaceae","Fabaceae","Fabales","Magnoliopsida"
189,"apg_v14","plantae","Baxteriaceae","Dasypogonaceae","Arecales","Liliopsida"
190,"apg_v14|col_v2025","plantae","Begoniaceae","Begoniaceae","Cucurbitales","Magnoliopsida"
191,"apg_v14","plantae","Behniaceae","Asparagaceae","Asparagales","Liliopsida"
192,"apg_v14|col_v2025","plantae","Belangeraceae","Cunoniaceae","Oxalidales","Magnoliopsida"
193,"apg_v14|col_v2025","plantae","Belloniaceae","Gesneriaceae","Lamiales","Magnoliopsida"
194,"apg_v14|col_v2025","plantae","Bembiciaceae","Salicaceae","Malpighiales","Magnoliopsida"
195,"apg_v14|col_v2025","plantae","Berberidaceae","Berberidaceae","Ranunculales","Magnoliopsida"
196,"apg_v14|col_v2025","plantae","Berberidopsidaceae","Berberidopsidaceae","Berberidopsidales","Magnoliopsida"
197,"apg_v14|col_v2025","plantae","Berryaceae","Malvaceae","Malvales","Magnoliopsida"
198,"apg_v14|col_v2025","plantae","Bersamaceae","Francoaceae","Geraniales","Magnoliopsida"
199,"apg_v14","plantae","Bertyaceae","Euphorbiaceae","Malpighiales","Magnoliopsida"
200,"apg_v14|col_v2025","plantae","Berzeliaceae","Bruniaceae","Bruniales","Magnoliopsida"
201,"apg_v14|col_v2025","plantae","Besleriaceae","Gesneriaceae","Lamiales","Magnoliopsida"
202,"apg_v14|col_v2025","plantae","Betaceae","Amaranthaceae","Caryophyllales","Magnoliopsida"
203,"apg_v14|col_v2025","plantae","Betulaceae","Betulaceae","Fagales","Magnoliopsida"
204,"apg_v14|col_v2025","plantae","Biebersteiniaceae","Biebersteiniaceae","Sapindales","Magnoliopsida"
205,"apg_v14","plantae","Bifariaceae","Santalaceae","Santalales","Magnoliopsida"
206,"apg_v14|col_v2025","plantae","Bignoniaceae","Bignoniaceae","Lamiales","Magnoliopsida"
207,"apg_v14","plantae","Bischofiaceae","Phyllanthaceae","Malpighiales","Magnoliopsida"
208,"apg_v14|col_v2025","plantae","Bixaceae","Bixaceae","Malvales","Magnoliopsida"
209,"apg_v14|col_v2025","plantae","Blakeaceae","Melastomataceae","Myrtales","Magnoliopsida"
210,"apg_v14|col_v2025","plantae","Blandfordiaceae","Blandfordiaceae","Asparagales","Liliopsida"
211,"apg_v14|col_v2025","plantae","Blattiaceae","Lythraceae","Myrtales","Magnoliopsida"
212,"apg_v14|col_v2025","plantae","Blepharocaryaceae","Anacardiaceae","Sapindales","Magnoliopsida"
213,"apg_v14|col_v2025","plantae","Blitaceae","Amaranthaceae","Caryophyllales","Magnoliopsida"
214,"apg_v14","plantae","Blyxaceae","Hydrocharitaceae","Alismatales","Liliopsida"
215,"apg_v14","plantae","Boerlagellaceae","Sapotaceae","Ericales","Magnoliopsida"
216,"apg_v14","plantae","Bogutchanthaceae","Bogutchanthaceae","Hamamelidales",NA
217,"apg_v14|col_v2025","plantae","Bolbitidaceae","Dryopteridaceae","Polypodiales (Eupolypod I)","Polypodiopsida"
218,"apg_v14","plantae","Bolivaraceae","Oleaceae","Lamiales","Magnoliopsida"
219,"apg_v14|col_v2025","plantae","Bombacaceae","Malvaceae","Malvales","Magnoliopsida"
220,"apg_v14|col_v2025","plantae","Bonnetiaceae","Bonnetiaceae","Malpighiales","Magnoliopsida"
221,"apg_v14|col_v2025","plantae","Bontiaceae","Scrophulariaceae","Lamiales","Magnoliopsida"
222,"apg_v14|col_v2025","plantae","Boopidaceae","Calyceraceae","Asterales","Magnoliopsida"
223,"apg_v14|col_v2025","plantae","Boraginaceae","Boraginaceae","Boraginales","Magnoliopsida"
224,"apg_v14","plantae","Borassaceae","Arecaceae","Arecales","Liliopsida"
225,"apg_v14|col_v2025","plantae","Boroniaceae","Rutaceae","Sapindales","Magnoliopsida"
226,"apg_v14","plantae","Borthwickiaceae","Resedaceae","Brassicales","Magnoliopsida"
227,"apg_v14|col_v2025","plantae","Boryaceae","Boryaceae","Asparagales","Liliopsida"
228,"apg_v14|col_v2025","plantae","Botrychiaceae","Ophioglossaceae","Ophioglossales","Polypodiopsida"
229,"apg_v14|col_v2025","plantae","Botryodendraceae","Araliaceae","Apiales","Magnoliopsida"
230,"apg_v14|col_v2025","plantae","Bougainvilleaceae","Nyctaginaceae","Caryophyllales","Magnoliopsida"
231,"apg_v14|col_v2025","plantae","Boweniaceae","Zamiaceae","Cycadales","Cycadopsida"
232,"apg_v14|col_v2025","plantae","Brachycaulaceae","Saxifragaceae","Saxifragales","Magnoliopsida"
233,"apg_v14","plantae","Bracteocarpaceae","Podocarpaceae","Cupressales","Pinopsida"
234,"apg_v14|col_v2025","plantae","Brassicaceae","Brassicaceae","Brassicales","Magnoliopsida"
235,"apg_v14|col_v2025","plantae","Bretschneideraceae","Akaniaceae","Brassicales","Magnoliopsida"
236,"apg_v14|col_v2025","plantae","Brexiaceae","Celastraceae","Celastrales","Magnoliopsida"
237,"apg_v14","plantae","Bromaceae","Poaceae","Poales","Liliopsida"
238,"apg_v14|col_v2025","plantae","Bromeliaceae","Bromeliaceae","Poales","Liliopsida"
239,"apg_v14|col_v2025","plantae","Browalliaceae","Solanaceae","Solanales","Magnoliopsida"
240,"apg_v14|col_v2025","plantae","Brownlowiaceae","Malvaceae","Malvales","Magnoliopsida"
241,"apg_v14|col_v2025","plantae","Brunelliaceae","Brunelliaceae","Oxalidales","Magnoliopsida"
242,"apg_v14|col_v2025","plantae","Bruniaceae","Bruniaceae","Bruniales","Magnoliopsida"
243,"apg_v14|col_v2025","plantae","Brunoniaceae","Goodeniaceae","Asterales","Magnoliopsida"
244,"apg_v14","plantae","Brunsvigiaceae","Amaryllidaceae","Asparagales","Liliopsida"
245,"apg_v14|col_v2025","plantae","Bryoniaceae","Cucurbitaceae","Cucurbitales","Magnoliopsida"
246,"apg_v14|col_v2025","plantae","Buchneraceae","Orobanchaceae","Lamiales","Magnoliopsida"
247,"apg_v14|col_v2025","plantae","Bucidaceae","Combretaceae","Myrtales","Magnoliopsida"
248,"apg_v14|col_v2025","plantae","Buddlejaceae","Scrophulariaceae","Lamiales","Magnoliopsida"
249,"apg_v14","plantae","Buglossaceae","Boraginaceae","Boraginales","Magnoliopsida"
250,"apg_v14","plantae","Bulbocodiaceae","Colchicaceae","Liliales","Liliopsida"
251,"apg_v14","plantae","Bumeliaceae","Sapotaceae","Ericales","Magnoliopsida"
252,"apg_v14|col_v2025","plantae","Bupleuraceae","Apiaceae","Apiales","Magnoliopsida"
253,"apg_v14","plantae","Burchardiaceae","Colchicaceae","Liliales","Liliopsida"
254,"apg_v14|col_v2025","plantae","Burmanniaceae","Burmanniaceae","Dioscoreales","Liliopsida"
255,"apg_v14|col_v2025","plantae","Burseraceae","Burseraceae","Sapindales","Magnoliopsida"
256,"apg_v14|col_v2025","plantae","Butneriaceae","Calycanthaceae","Laurales","Magnoliopsida"
257,"apg_v14|col_v2025","plantae","Butomaceae","Butomaceae","Alismatales","Liliopsida"
258,"apg_v14|col_v2025","plantae","Buxaceae","Buxaceae","Buxales","Magnoliopsida"
259,"apg_v14|col_v2025","plantae","Byblidaceae","Byblidaceae","Lamiales","Magnoliopsida"
260,"apg_v14|col_v2025","plantae","Byttneriaceae","Malvaceae","Malvales","Magnoliopsida"
261,"apg_v14|col_v2025","plantae","Cabombaceae","Cabombaceae","Nymphaeales","Magnoliopsida"
262,"apg_v14","plantae","Cacaoaceae","Malvaceae","Malvales","Magnoliopsida"
263,"apg_v14|col_v2025","plantae","Cactaceae","Cactaceae","Caryophyllales","Magnoliopsida"
264,"apg_v14","plantae","Caesalpiniaceae","Fabaceae","Fabales","Magnoliopsida"
265,"apg_v14","plantae","Caladiaceae","Araceae","Alismatales","Liliopsida"
266,"apg_v14","plantae","Calamaceae","Arecaceae","Arecales","Liliopsida"
267,"apg_v14|col_v2025","plantae","Calceolariaceae","Calceolariaceae","Lamiales","Magnoliopsida"
268,"apg_v14","plantae","Calectasiaceae","Dasypogonaceae","Arecales","Liliopsida"
269,"apg_v14|col_v2025","plantae","Calendulaceae","Asteraceae","Asterales","Magnoliopsida"
270,"apg_v14","plantae","Callaceae","Araceae","Alismatales","Liliopsida"
271,"apg_v14|col_v2025","plantae","Callicomaceae","Cunoniaceae","Oxalidales","Magnoliopsida"
272,"apg_v14|col_v2025","plantae","Calligonaceae","Polygonaceae","Caryophyllales","Magnoliopsida"
273,"apg_v14|col_v2025","plantae","Callitrichaceae","Plantaginaceae","Lamiales","Magnoliopsida"
274,"apg_v14|col_v2025","plantae","Callitridaceae","Cupressaceae","Cupressales","Pinopsida"
275,"apg_v14","plantae","Calochortaceae","Liliaceae","Liliales","Liliopsida"
276,"apg_v14|col_v2025","plantae","Calophyllaceae","Calophyllaceae","Malpighiales","Magnoliopsida"
277,"apg_v14|col_v2025","plantae","Calthaceae","Ranunculaceae","Ranunculales","Magnoliopsida"
278,"apg_v14|col_v2025","plantae","Calycanthaceae","Calycanthaceae","Laurales","Magnoliopsida"
279,"apg_v14|col_v2025","plantae","Calyceraceae","Calyceraceae","Asterales","Magnoliopsida"
280,"apg_v14|col_v2025","plantae","Cambogiaceae","Clusiaceae","Malpighiales","Magnoliopsida"
